Protocol,Src Port,Dst port,Packet Count,First Timestamp,Last Timestamp,Mean Packet Length
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
